TITU,T_UNIV,PR_JOR,PR_OCU,PR_NIVEL,PR_AREA,SEXO,EDAD,ESTUDIOS_PADRE,TIC,target_alerta
11101,2,1,23,3,2,1,1,2,2,0
11101,2,1,22,3,2,1,1,3,2,0
11101,1,2,37,4,3,1,1,3,3,0
11101,1,2,51,4,3,1,1,7,3,0
11101,1,2,23,3,2,1,1,8,2,1
11101,1,2,23,3,2,1,1,3,2,0
11101,1,1,51,7,4,1,1,5,2,1
11101,1,2,52,7,3,2,1,4,2,0
11101,1,2,22,3,2,2,1,4,1,0
11101,1,2,22,3,2,2,1,8,2,0
11101,1,1,45,3,2,2,1,2,2,1
11101,1,1,52,7,4,2,1,4,2,1
11101,1,2,22,3,2,2,1,3,2,0
11101,1,1,57,4,1,2,1,6,2,1
11101,1,2,22,7,4,2,1,4,1,0
11101,1,2,55,7,4,2,1,2,2,0
11101,1,2,45,3,2,2,1,4,2,0
11101,1,1,45,7,4,2,1,9,2,0
11101,1,1,37,3,2,2,1,5,2,1
11101,1,2,26,2,2,2,1,3,2,0
11101,1,1,52,7,4,2,1,4,2,1
11101,1,1,37,3,2,2,1,6,3,1
11101,1,1,23,2,2,2,1,4,2,1
11101,1,1,37,7,4,2,1,4,2,1
11101,1,1,33,3,2,2,1,3,2,1
11101,1, ,  , , ,2,1,7,2,1
11101,1,2,57,4,2,2,1,4,2,1
11101,1,2,42,5,2,2,1,7,2,0
11101,1,2,51,2,2,2,1,2,2,0
11101,1,1,23,5,2,2,1,9,2,1
11101,1,2,22,3,2,2,1,2,2,0
11101,1,1,37,5,2,2,1,3,3,1
11101,1,2,22,4,2,2,1,9,2,0
11101,1,2,28,3,2,2,1,3,2,1
11101,1,2,22,3,2,2,1,3,2,0
11101,1,2,22,3,2,2,1,4,2,0
11101,1,1,23,4,2,2,1,6,1,0
11101,1,1,58,3,2,2,1,4,1,0
11101,1,1,37,5,2,2,1,3,2,1
11101,1,1,23,3,2,2,1,4,2,0
11101,1,1,56,5,4,2,1,3,3,0
11101,1,2,28,4,3,2,1,4,2,1
11101,1,1,42,7,4,2,1,8,2,1
11101,1,2,22,2,2,2,1,3,2,0
11101,2,1,22,3,2,1,2,2,1,1
11101,1,1,22,4,3,1,2,2,2,1
11101,1,2,37,5,2,1,2,3,2,0
11101,1,2,22,3,2,2,2,3,2,0
11101,1,2,23,3,2,2,2,6,2,0
11101,2,1,51,7,4,2,2,8,2,0
11101,2,2,57,4,2,2,2,4,2,1
11101,2,1,37,4,2,2,2,2,2,1
11101,1,2,22,4,2,2,2,8,1,0
11101,1,2,22,3,4,2,2,4,2,0
11101,2,1,22,3,2,2,2,5,1,1
11101,2,1,59,7,4,2,2,3,2,1
11101,1,2,14,6,3,2,2,6,2,0
11101,2,2,37,3,2,2,2,3,1,0
11101,2,1,57,7,4,2,2,7,2,0
11101,1,1,91,6,4,2,2,3,2,1
11101,1,1,52,7,3,2,2,6,2,1
11101,1,1,22,5,2,2,2,8,2,0
11101,1,2,52,3,3,2,2,4,1,0
11101,1,1,37,3,2,2,2,5,2,0
11101,1,1,37,5,2,2,2,8,2,1
11101,1,2,52,5,4,2,2,4,1,0
11101,1,2,45,6,2,2,2,9,3,0
11101,1,1,23,3,2,2,2,4,2,1
11101,1,1,23,5,2,2,2,3,2,1
11101,1,1,51,7,4,2,2,7,2,1
11101,1,2,13,3,2,2,2,4,2,0
11101,1,1,57,6,2,2,2,8,1,1
11101,1,1,52,5,3,2,2,7,1,0
11101,1,1,22,3,2,2,2,8,1,1
11101,1,2,22,3,2,2,2,4,2,0
11101,1,1,57,5,2,2,2,2,2,1
11101,1,1,37,4,3,2,2,3,2,1
11101,1,1,56,5,2,2,2,3,2,1
11101,2,2,22,2,2,1,3,3,1,0
11101,1,2,31,7,4,1,3,6,2,1
11101,2,2,28,3,3,1,3,5,2,0
11101,2,2,36,5,4,1,3,2,1,0
11101,1,2,21,3,2,1,3,1,2,0
11101,1,2,22,3,2,1,3,8,2,0
11101,1,2,44,4,4,1,3,3,1,0
11101,1,2,22,3,2,1,3,6,2,0
11101,2,2,43,3,3,2,3,8,1,0
11101,2,2,22,3,2,2,3,3,1,0
11101,2,1,22,3,2,2,3,3,2,0
11101,2,2,22,3,2,2,3,5,2,0
11101,2,2,37,3,2,2,3,3,2,0
11101,2,2,92,7,4,2,3,4,2,0
11101,1,2,35,3,3,2,3,8,2,0
11101,2,1,23,3,2,2,3,3,2,1
11101,1,1,23,3,3,2,3,7,2,1
11101,1,1,37,3,2,2,3,4,2,1
11101,1,2,23,3,2,2,3,8,1,0
11101,1,2,22,3,2,2,3,4,2,0
11101,1,2,22,3,2,2,3,3,2,0
11101,1,2,21,3,2,2,3,2,2,0
11101,1,1,54,6,4,2,3,9,2,1
