,SEXO,EDAD,NACIO,DISCA,TITU,RAMA,AMBITO,T_UNIV,ESTUDIOS_PADRE,ESTUDIOS_MADRE,IDIOMAS,NIV_ID1,NIV_ID2,MVFUERA,EST_M1,HL_E1,HL_E2,HL_E3,EST_B1,EST_B2_1,EST_B2_4,TIC,CAPITAL_CULTURAL,NIVEL_IDIOMA_MAX,MOVILIDAD_INTL,PRACTICAS_CALIDAD,PERFIL_GLOBAL
12940,1,2,1,2,41301,3,413,1,8.0,6.0,2.0,1.0,3.0,1.0,2.0,1,2,1,2.0,,,1.0,7.0,3.0,1,3,9.0
15151,2,1,1,2,42101,3,42,1,8.0,8.0,3.0,2.0,2.0,2.0,2.0,4,,2,2.0,,,2.0,8.0,2.0,0,0,4.17
8777,2,1,1,2,31201,3,31,1,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2,3,2,1.0,1,1,2.0,3.5,1.0,1,1,6.83
4948,1,1,1,2,21201,4,21,1,8.0,8.0,3.0,1.0,1.0,2.0,2.0,3,4,2,2.0,,,3.0,8.0,1.0,0,2,2.83
18040,2,1,1,2,53101,2,53,1,8.0,8.0,2.0,1.0,2.0,1.0,1.0,4,,2,1.0,2,2,2.0,8.0,2.0,1,0,7.67
10754,2,3,1,2,32102,3,32,1,5.0,3.0,1.0,2.0,,2.0,2.0,1,1,1,1.0,2,2,2.0,4.0,2.0,0,3,3.17
31399,2,1,1,2,101501,3,1015,1,2.0,4.0,3.0,1.0,2.0,2.0,2.0,1,1,2,2.0,,,2.0,3.0,2.0,0,3,4.17
12370,2,1,1,2,41301,3,413,1,3.0,5.0,1.0,2.0,,2.0,2.0,1,1,2,1.0,1,2,1.0,4.0,2.0,0,3,3.17
28115,1,2,1,2,91301,5,913,3,8.0,5.0,2.0,2.0,3.0,2.0,2.0,1,5,2,1.0,9,9,1.0,6.5,3.0,0,3,5.0
16940,2,2,1,2,51202,2,51,1,8.0,8.0,2.0,1.0,1.0,2.0,2.0,1,2,2,2.0,,,3.0,8.0,1.0,0,3,2.33
8011,1,1,1,2,31101,3,311,1,,,1.0,,,2.0,2.0,1,4,2,2.0,,,3.0,,0.0,0,3,0.5
30905,2,2,1,2,101501,3,1015,1,3.0,3.0,2.0,1.0,3.0,2.0,2.0,4,,1,1.0,1,2,2.0,3.0,3.0,0,0,5.0
14265,2,1,1,2,41403,3,41,1,8.0,4.0,2.0,1.0,2.0,2.0,2.0,3,3,2,1.0,1,2,2.0,6.0,2.0,0,2,3.67
9139,2,1,1,2,31301,5,313,1,8.0,8.0,2.0,1.0,2.0,1.0,2.0,3,5,1,2.0,,,2.0,8.0,2.0,1,2,7.67
19664,1,2,1,2,61901,4,61,1,7.0,7.0,2.0,1.0,1.0,2.0,2.0,1,2,1,2.0,,,3.0,7.0,1.0,0,3,2.33
23711,1,2,1,2,73102,4,73,1,,,1.0,2.0,,1.0,2.0,1,1,2,1.0,1,2,2.0,,2.0,1,3,7.17
20827,2,1,1,2,71403,4,71,1,,,1.0,2.0,,2.0,2.0,4,,2,2.0,,,3.0,,2.0,0,0,3.17
1124,2,1,1,2,11201,3,112,1,3.0,1.0,1.0,2.0,,2.0,2.0,1,2,1,1.0,1,2,2.0,2.0,2.0,0,3,3.17
11214,1,1,1,2,41202,3,41,1,4.0,4.0,1.0,2.0,,2.0,2.0,4,,2,2.0,,,2.0,4.0,2.0,0,0,3.17
17432,1,3,1,2,52101,2,52,1,,4.0,1.0,1.0,,2.0,1.0,4,,1,1.0,2,2,2.0,4.0,1.0,1,0,5.83
18488,1,2,1,2,53301,2,53,1,8.0,5.0,2.0,2.0,1.0,2.0,1.0,1,9,1,2.0,,,2.0,6.5,2.0,1,3,7.67
